"workerid","condition","trialnum","type","stimulus","number","matchingnumber","ssc","judgment","response","correct","questionRT","word0RT","word1RT","word2RT","word3RT","word4RT","word5RT","word6RT","word7RT","word8RT","word9RT","word10RT","word11RT","word12RT","word13RT","word14RT","word15RT","word16RT","criticalword","criticalwordRT","hand","instr","langPref","language","lang05","gender","age","handedness","education","comments","countryParents","residence","country"
0,2,1,1,"Los profesores son severos y el decano son severos tambien, entonces no nos preocupamos.","pl-sg",0,0,"ungrammatical","SI, la frase suena bien",0,610.465,148.625,150.185,137.265,135.23,187.7,687.935,305.515,332.72,171.07,180.085,308.145,150.09,308.03,188.73,NA,NA,NA,"tambien",180.085,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,3,1,"El profesor es severo y los decanos es severo tambien, entonces no nos preocupamos.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,327,127.135,129.44,124.92,124.1,192.175,148.745,120.275,146.53,129.375,150.095,129.865,133.07,150.34,142.645,NA,NA,NA,"tambien",150.095,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,4,2,"Los profesores son severos y el decano tambien, entonces no nos preocupamos.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,284.035,99.07,130.715,128.755,115.92,176.96,170.065,275.48,201.35,152.05,134.42,119.13,315.64,NA,NA,NA,NA,NA,"tambien",201.35,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,5,2,"El profesor es severo y el decano tambien, entonces no nos preocupamos.","sg",1,0,"grammatical","NO, la frase no suena bien",0,157.93,169.7,141.87,167.455,167.92,274.17,181.05,169.82,173.155,176.085,197.635,189.845,194.425,NA,NA,NA,NA,NA,"tambien",173.155,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,6,1,"Los profesores son severos y los decanos son severos tambien, entonces no nos preocupamos.","pl",1,1,"grammatical","SI, la frase suena bien",1,283.44,159.28,163.84,171.045,190.965,179.35,152.095,210.345,212.795,166.885,302.735,226.485,88.795,178.445,167.86,NA,NA,NA,"tambien",302.735,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,8,1,"El profesor es severo y el decano es severo tambien, entonces no nos preocupamos.","sg",1,0,"grammatical","NO, la frase no suena bien",0,170.75,124.095,119.59,124.505,129.705,131.04,131.51,136.4,119.64,133.215,127.73,128.04,100.66,153.67,139.92,NA,NA,NA,"tambien",127.73,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,9,2,"Los profesores son severos y los decanos tambien, entonces no nos preocupamos.","pl",1,1,"grammatical","NO, la frase no suena bien",0,307.58,145.595,135.885,147.61,148.145,140.43,153.765,129.655,132.2,145.57,134.135,234,177.735,NA,NA,NA,NA,NA,"tambien",132.2,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,10,2,"El profesor es severo y los decanos tambien, entonces no nos preocupamos.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,196.155,147.59,138.98,143.59,130.445,133.605,142.065,126.25,125.57,119.665,127.955,112.975,136.29,NA,NA,NA,NA,NA,"tambien",125.57,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
1,28,1,1,"El ingeniero es europeo y los albaniles es europeo tambien, entonces el estilo de construccion sera europeo.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,5449,302,272,257,247,264.995,247.005,233,255,705,223,248,279,256,273,264,312,2064,"tambien",223,"right","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,3,2,"El ingeniero es europeo y los albaniles tambien, entonces el estilo de construccion sera europeo.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,720,335,272,273,223,376,279,240,328,343,297,328,223,376,800,303,NA,NA,"tambien",328,"left","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,4,1,"Los ingenieros son europeos y los albaniles son europeos tambien, entonces el estilo de construccion sera europeo.","pl",1,1,"grammatical","SI, la frase suena bien",1,3720,359,345,320,224,296,256,361,295,247,512,320,272,232,263,247,281,278,"tambien",512,"left","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,5,2,"El ingeniero es europeo y el albanil tambien, entonces el estilo de construccion sera europeo.","sg",1,0,"grammatical","SI, la frase suena bien",1,1751,391,287,249,335,265,279,248,264,271,239,282,230,263,263,336,NA,NA,"tambien",264,"right","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,6,1,"Los ingenieros son europeos y el albanil son europeos tambien, entonces el estilo de construccion sera europeo.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,1197,320,311,208,233,232,231,863,216,200,192,200,239,265,247,257,255,282,"tambien",192,"left","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,7,1,"El ingeniero es europeo y el albanil es europeo tambien, entonces el estilo de construccion sera europeo.","sg",1,0,"grammatical","SI, la frase suena bien",1,1208,248,248,231,256.005,288,240,176,344,216,272,256,272,280,272,1991,312,495,"tambien",272,"right","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,9,2,"Los ingenieros son europeos y los albaniles tambien, entonces el estilo de construccion sera europeo.","pl",1,1,"grammatical","SI, la frase suena bien",1,911,271,273,279,1065,279,215,281,222,289,288,215,273,256,328,280,NA,NA,"tambien",222,"right","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,10,2,"Los ingenieros son europeos y el albanil tambien, entonces el estilo de construccion sera europeo.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,1199,360,264,240,240,384,240,296,240,256,256,303,240.995,304.005,304,295,NA,NA,"tambien",240,"left","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
2,18,1,1,"Los gimnastas son disciplinados y el patinador son disciplinados tambien, por eso me gusta ver los entrenamientos.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,1814,552,920,800.995,1246.005,551,726.995,583.005,871.995,343.005,414.995,296.005,255.995,247.005,248,248,247.995,464,"tambien",414.995,"left","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,2,2,"Los gimnastas son disciplinados y el patinador tambien, por eso me gusta ver los entrenamientos.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,1286,522.995,582,448.005,479.995,408.005,400,544,600,496,462.995,488,480,480,544,1351,NA,NA,"tambien",600,"right","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,3,1,"El gimnasta es disciplinado y el patinador es disciplinado tambien, por eso me gusta ver los entrenamientos.","sg",1,0,"grammatical","SI, la frase suena bien",1,1494.995,529,462,512,423.995,392,416.005,423.995,416.005,448,446.995,488.005,440,480,448,408,408,529,"tambien",446.995,"left","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,5,2,"El gimnasta es disciplinado y los patinadores tambien, por eso me gusta ver los entrenamientos.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,1280.005,575.995,519.005,416,375,357,336,664,455,626,445,393,416,392,376.995,607,NA,NA,"tambien",455,"left","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,6,1,"El gimnasta es disciplinado y los patinadores es disciplinado tambien, por eso me gusta ver los entrenamientos.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,2469.995,393,414.995,400.005,407.005,328,384,368,583.995,215,224.005,215,239,240,256,255,249,221,"tambien",224.005,"left","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,8,1,"Los gimnastas son disciplinados y los patinadores son disciplinados tambien, por eso me gusta ver los entrenamientos.","pl",1,1,"grammatical","SI, la frase suena bien",1,1055,519,577,740,441.995,389.005,344,411,407.995,348,376,320,296,320,336.005,312,304,464,"tambien",376,"right","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,9,2,"Los gimnastas son disciplinados y los patinadores tambien, por eso me gusta ver los entrenamientos.","pl",1,1,"grammatical","SI, la frase suena bien",1,1174,425.005,439,408,600,377,454.005,80,863,416,311.995,304.005,295,415.995,359,1078.995,NA,NA,"tambien",863,"right","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
2,18,10,2,"El gimnasta es disciplinado y el patinador tambien, por eso me gusta ver los entrenamientos.","sg",1,0,"grammatical","SI, la frase suena bien",1,966,438,351,350.995,527,503,431.995,432.005,540.995,331,288.005,287,327,296,288,336,NA,NA,"tambien",540.995,"right","yes","spanish","spanish","spanish","Male",23,"right","some-college",NA,"Venezuela","Venezuela","Venezuela"
3,31,2,2,"Los intelectuales son cultos y los escritores tambien, asi que el periodista se sintio ignorante.","pl",1,1,"grammatical","SI, la frase suena bien",1,818.18,500.575,1025.99,670.27,687.65,529.365,485.85,614.605,631.58,555.03,429.89,425.14,594.19,570.735,575.835,1789.935,NA,NA,"tambien",631.58,"right","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,3,1,"El intelectual es culto y el escritor es culto tambien, asi que el periodista se sintio ignorante.","sg",1,0,"grammatical","NO, la frase no suena bien",0,457.58,385.715,650.075,430.155,413.445,427.18,394.94,515.08,406.28,440.505,584.07,526.245,474.235,419.39,517.975,412.505,538.535,533.265,"tambien",584.07,"left","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,4,2,"El intelectual es culto y el escritor tambien, asi que el periodista se sintio ignorante.","sg",1,0,"grammatical","NO, la frase no suena bien",0,482.625,416.69,548.77,474.995,1294.705,413.87,450.88,441.595,443.515,583.725,403.135,440.42,465,498.12,494.32,613.985,NA,NA,"tambien",443.515,"right","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,5,2,"Los intelectuales son cultos y el escritor tambien, asi que el periodista se sintio ignorante.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,2616.18,40475.055,497.155,485.915,495.945,420.47,464.435,1377.95,415.8,440.925,418.135,340.82,386.24,445.865,481.065,524.105,NA,NA,"tambien",415.8,"left","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,6,2,"El intelectual es culto y los escritores tambien, asi que el periodista se sintio ignorante.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,1550.88,386.455,489.96,664.715,438.995,418.74,395.08,407.205,464.63,258.185,350.285,341.96,349.595,374.925,343.64,395.75,NA,NA,"tambien",464.63,"left","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,7,1,"El intelectual es culto y los escritores es culto tambien, asi que el periodista se sintio ignorante.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,1568.48,287.355,325.19,345.46,338.785,345.56,342.15,353.27,323.855,358.32,382.575,301.025,313.685,288.835,296.915,298.135,240.8,384.57,"tambien",382.575,"left","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,9,1,"Los intelectuales son cultos y el escritor son cultos tambien, asi que el periodista se sintio ignorante.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,1356.495,395.805,590.275,408.515,560.55,385.765,489.785,755.73,643.82,416.23,420.075,512.77,301.595,244.11,213.39,191.75,341.92,385.57,"tambien",420.075,"right","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
3,31,10,1,"Los intelectuales son cultos y los escritores son cultos tambien, asi que el periodista se sintio ignorante.","pl",1,1,"grammatical","SI, la frase suena bien",1,1336.74,376.12,407.985,465.35,416.46,437.735,513.51,552.155,496.215,465.42,458.715,422.23,402.59,347.12,363.54,395.04,385.69,504.12,"tambien",458.715,"left","yes","depends","both","mixed","Female",27,"left","some-grad","Fue intersante. Muchas gracias por la oportunidad","Puerto Rico","Puerto Rico","Estados unidos"
4,7,2,1,"Los cuidadores son carinosos y el paciente son carinosos tambien, por eso la relacion es buena.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,705,431.995,503.005,1280.995,573,474,627,504.005,407.995,635.005,453.995,410,401,360.005,375,351,696,NA,"tambien",453.995,"right","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,3,2,"Los cuidadores son carinosos y el paciente tambien, por eso la relacion es buena.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,654,380.995,571,533,566.005,433.995,379.005,664.995,402,383.005,304.995,301.005,317.995,375,367,NA,NA,NA,"tambien",402,"left","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,4,2,"Los cuidadores son carinosos y los pacientes tambien, por eso la relacion es buena.","pl",1,1,"grammatical","SI, la frase suena bien",1,743,397.005,368.995,546,521.005,432.995,365.005,509.995,517,1154,313,299.005,312,266,441.995,NA,NA,NA,"tambien",517,"left","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,5,2,"El cuidador es carinoso y los pacientes tambien, por eso la relacion es buena.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,689.995,384,443.005,472,404.995,383,422,528,533,507.005,359.995,487.005,505.995,377.005,493,NA,NA,NA,"tambien",533,"left","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,6,1,"Los cuidadores son carinosos y los pacientes son carinosos tambien, por eso la relacion es buena.","pl",1,1,"grammatical","SI, la frase suena bien",1,907.005,440,761.995,398.005,602.995,376.005,417.995,516,527,610,613,364.005,303,719.995,413.005,311,408.995,NA,"tambien",613,"right","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,7,1,"El cuidador es carinoso y los pacientes es carinoso tambien, por eso la relacion es buena.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,759,423.995,480,601,513.005,376.995,397.005,799.995,340,533.005,289.995,350.005,236.995,186,147,382.995,376,NA,"tambien",289.995,"left","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,8,1,"El cuidador es carinoso y el paciente es carinoso tambien, por eso la relacion es buena.","sg",1,0,"grammatical","SI, la frase suena bien",1,623,426.005,583.995,505.005,564.995,380.005,549.995,533.005,742.995,720.005,437,486.995,415.005,497,381.995,304,427,NA,"tambien",437,"left","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
4,7,10,2,"El cuidador es carinoso y el paciente tambien, por eso la relacion es buena.","sg",1,0,"grammatical","SI, la frase suena bien",1,748,705.005,874.005,517,384,538.995,653,487.005,766.005,490,357,272.995,314.005,330,471.995,NA,NA,NA,"tambien",766.005,"right","yes","depends","spanish","spanish","Female",40,"right","some-college","muy bueno e interesante","mexico","USA","mexico"
5,24,2,1,"El heroinomano es paranoico y el esquizofrenico es paranoico tambien, entonces la gente cercana se asusta a veces.","sg",1,0,"grammatical","SI, la frase suena bien",1,2268.225,422.77,470.765,945.065,509.095,414.175,378.65,587.435,397.775,466.595,389.015,454.385,417.195,428.065,396.87,441.03,473.82,681.175,"tambien",389.015,"left","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,3,1,"Los heroinomanos son paranoicos y el esquizofrenico son paranoicos tambien, entonces la gente cercana se asusta a veces.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,955.01,372.8,879.59,438.93,599.35,429.47,374.41,616.93,400.66,634.605,730.05,497.94,406.035,303.91,367.875,397.745,427.455,400.065,"tambien",389.015,"right","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,4,2,"El heroinomano es paranoico y el esquizofrenico tambien, entonces la gente cercana se asusta a veces.","sg",1,0,"grammatical","SI, la frase suena bien",1,2829.23,457.07,419.575,432.7,495.775,350.83,359.45,550.74,446.4,530.795,452.58,407.995,405.745,457.405,394.555,465.9,467.76,NA,"tambien",446.4,"right","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,5,2,"Los heroinomanos son paranoicos y el esquizofrenico tambien, entonces la gente cercana se asusta a veces.","pl-sg",0,0,"grammatical","NO, la frase no suena bien",0,2430.995,389.04,429.785,444.32,471.345,867.845,373.95,504.855,456.795,664.135,425.09,405.815,321.08,387.14,345.36,350.33,308.115,NA,"tambien",456.795,"left","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,7,1,"Los heroinomanos son paranoicos y los esquizofrenicos son paranoicos tambien, entonces la gente cercana se asusta a veces.","pl",1,1,"grammatical","SI, la frase suena bien",1,1682.605,416.065,435.74,444.07,514.99,361.86,368.875,454.175,372.905,435.375,419.99,472.88,375.595,328.3,419.125,431.99,340.36,413.82,"tambien",419.99,"right","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,8,2,"Los heroinomanos son paranoicos y los esquizofrenicos tambien, entonces la gente cercana se asusta a veces.","pl",1,1,"grammatical","SI, la frase suena bien",1,1721.485,378.225,424.785,386.295,332.75,332.07,397.13,482.44,318.055,546.445,405.59,335.19,411.47,373.32,332.35,399.475,441.21,NA,"tambien",318.055,"right","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,9,2,"El heroinomano es paranoico y los esquizofrenicos tambien, entonces la gente cercana se asusta a veces.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,1306.445,373.03,335.03,313.23,381.23,337.715,324.42,451.71,531.535,405.135,408.22,362.285,293.315,461.415,398.82,329.305,334.99,NA,"tambien",531.535,"left","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
5,24,10,1,"El heroinomano es paranoico y los esquizofrenicos es paranoico tambien, entonces la gente cercana se asusta a veces.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,1278.98,375.665,378.24,425.135,468.185,337.82,374.905,386.91,397.775,840.69,493.775,661.185,422.21,340.45,307.255,487.45,356.49,362.04,"tambien",493.775,"left","yes","depends","espanol","spanish","Male",33,"left","some-college",NA,"venezuela","venezuela","venezuela"
6,18,1,1,"Los gimnastas son disciplinados y el patinador son disciplinados tambien, por eso me gusta ver los entrenamientos.","pl-sg",0,0,"ungrammatical","NO, la frase no suena bien",1,404,592,1254,805.995,933.005,762,625.995,724.005,837.995,696.005,572,564.995,591,467,526.005,468.995,523,1327,"tambien",572,"right","yes","both","espanol","spanish","Female",22,"right","college","Me gusto mucho; sigan haciendo mas","venezuela","venezuela","venezuela"
